timestamp,tx,ty,tz,roll,pitch,yaw,speed
0.100470,-0.000095,-0.000611,0.003422,-89.939071,-0.025704,0.010931,0.000000
0.133803,-0.005199,0.000561,0.009787,-89.966045,-0.026153,-0.008340,0.247308
0.167136,-0.005323,0.000864,0.009751,-89.988589,-0.045782,-0.008275,0.009861
0.200468,-0.008375,0.002898,0.013016,-90.261853,-0.224154,-0.053149,0.147331
0.233801,-0.011719,0.005435,0.012998,-90.369419,-0.281232,-0.084676,0.125938
0.267134,-0.013763,0.008292,0.013956,-90.722557,-0.282897,-0.001161,0.109239
0.300466,-0.019553,0.010182,0.014353,-90.966786,-0.316577,0.036832,0.183100
0.333799,-0.023442,0.011065,0.015923,-91.123874,-0.493831,0.085191,0.128589
0.367132,-0.031268,0.010690,0.015552,-91.058481,-0.682862,0.020250,0.235308
0.400465,-0.034806,0.009710,0.015102,-90.881082,-0.819319,0.098880,0.110970
0.433797,-0.037773,0.008604,0.016488,-90.943326,-0.910611,0.142444,0.103694
0.467130,-0.042093,0.008888,0.015771,-90.962763,-1.073765,0.119609,0.131664
0.500463,-0.045028,0.008443,0.015112,-90.949546,-1.274252,0.096107,0.091233
0.533796,-0.047887,0.009387,0.014487,-91.156570,-1.507518,0.046237,0.092234
0.567128,-0.048928,0.011447,0.010845,-91.354555,-1.634151,0.131362,0.129371
0.600461,-0.050961,0.012323,0.008473,-91.452660,-1.691179,0.154183,0.097308
0.633794,-0.050961,0.012518,0.008284,-91.490662,-1.637098,0.203142,0.008148
0.667127,-0.049859,0.012646,0.006062,-91.526450,-1.424581,0.274245,0.074513
0.700459,-0.048755,0.012631,0.003997,-91.456844,-1.114272,0.337187,0.070250
0.733792,-0.048140,0.011022,0.005252,-91.381989,-0.748352,0.419676,0.063946
0.767125,-0.043829,0.010541,0.003476,-91.304997,-0.322892,0.610705,0.140643
0.800458,-0.040595,0.010621,0.003161,-91.331152,0.119465,0.749387,0.097512
0.833791,-0.036278,0.009487,0.003810,-91.415806,0.583219,0.962443,0.135309
0.867123,-0.032184,0.009354,0.004509,-91.450140,1.008801,1.171359,0.124670
0.900456,-0.028647,0.008926,0.005596,-91.359230,1.372019,1.336409,0.111727
0.933789,-0.023297,0.008016,0.006789,-91.355871,1.752304,1.629963,0.166707
0.967122,-0.021145,0.008268,0.007678,-91.441436,2.111944,1.831180,0.070274
1.000454,-0.019481,0.009362,0.006678,-91.422531,2.380347,1.978103,0.066865
1.033787,-0.017653,0.011143,0.006540,-91.555668,2.620797,2.085875,0.076656
1.067120,-0.015175,0.013753,0.006855,-91.776886,2.788134,2.195383,0.108393
1.100453,-0.013250,0.016396,0.007091,-92.027054,2.827903,2.221433,0.098336
1.133785,-0.011273,0.019788,0.006294,-92.324277,2.811773,2.317727,0.120193
1.167118,-0.009069,0.023349,0.006272,-92.659971,2.810083,2.535832,0.125642
1.200451,-0.008582,0.027086,0.005137,-92.900429,2.845304,2.701652,0.118097
1.233784,-0.007121,0.028833,0.004764,-93.056807,2.881222,2.879579,0.069234
1.267116,-0.006251,0.030504,0.004138,-93.212023,2.858275,2.977524,0.059540
1.300449,-0.006438,0.031875,0.002986,-93.335962,2.878525,2.995917,0.054005
1.333782,-0.005298,0.032741,0.002249,-93.376355,2.842938,3.038524,0.048313
1.367115,-0.003497,0.032991,0.002737,-93.422025,2.758238,3.093210,0.056490
1.400447,-0.003318,0.033084,0.002507,-93.420056,2.674082,3.062293,0.009177
1.433780,-0.001789,0.032632,0.002666,-93.349713,2.557737,2.998183,0.048068
1.467113,0.000587,0.032042,0.003608,-93.289011,2.571931,2.949308,0.078691
